,LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,TYPE,geometry
2532,-36.6054,147.2688,302.3,1.0,1.0,2019-11-21,1305,Terra,MODIS,48,6.3,280.5,6.1,N,0,POINT (147.2688 -36.6054)
2533,-36.5636,147.2363,308.1,1.0,1.0,2019-11-21,1305,Terra,MODIS,74,6.3,284.2,9.1,N,0,POINT (147.2363 -36.5636)
2534,-36.5652,147.2252,304.9,1.0,1.0,2019-11-21,1305,Terra,MODIS,62,6.3,284.7,6.9,N,0,POINT (147.2252 -36.5652)
2535,-36.5657,147.1562,304.5,1.0,1.0,2019-11-21,1305,Terra,MODIS,53,6.3,279.8,6.4,N,0,POINT (147.1562 -36.5657)
2536,-36.5673,147.145,302.9,1.0,1.0,2019-11-21,1305,Terra,MODIS,52,6.3,277.7,5.6,N,0,POINT (147.145 -36.5673)
2537,-36.4352,147.1725,301.3,1.0,1.0,2019-11-21,1305,Terra,MODIS,40,6.3,286.4,4.1,N,0,POINT (147.1725 -36.4352)
2538,-36.4008,147.1534,300.9,1.0,1.0,2019-11-21,1305,Terra,MODIS,30,6.3,281.0,4.4,N,0,POINT (147.1534 -36.4008)
2539,-36.2809,147.4766,303.2,1.0,1.0,2019-11-21,1305,Terra,MODIS,54,6.3,290.0,5.0,N,0,POINT (147.4766 -36.2809)
2540,-36.2825,147.4655,300.7,1.0,1.0,2019-11-21,1305,Terra,MODIS,32,6.3,289.3,3.4,N,0,POINT (147.4655 -36.2825)
3810,-36.4095,147.1574,315.3,1.1,1.0,2019-11-22,0008,Terra,MODIS,51,6.3,294.5,10.8,D,0,POINT (147.1574 -36.4095)
3811,-36.568,147.2304,313.1,1.1,1.0,2019-11-22,0008,Terra,MODIS,38,6.3,295.4,8.7,D,0,POINT (147.2304 -36.568)
3812,-36.5632,147.1439,313.8,1.1,1.0,2019-11-22,0008,Terra,MODIS,54,6.3,294.9,10.9,D,0,POINT (147.1439 -36.5632)
3813,-36.5653,147.1566,321.4,1.1,1.0,2019-11-22,0008,Terra,MODIS,72,6.3,295.5,18.6,D,0,POINT (147.1566 -36.5653)
3814,-36.5932,147.1486,315.8,1.1,1.0,2019-11-22,0008,Terra,MODIS,61,6.3,295.2,12.3,D,0,POINT (147.1486 -36.5932)
3815,-36.6968,147.3909,314.0,1.1,1.0,2019-11-22,0008,Terra,MODIS,56,6.3,293.9,11.4,D,0,POINT (147.3909 -36.6968)
3816,-36.8883,147.4297,325.8,1.1,1.0,2019-11-22,0008,Terra,MODIS,80,6.3,294.6,23.7,D,0,POINT (147.4297 -36.8883)
3817,-36.8936,146.6744,314.1,1.1,1.1,2019-11-22,0008,Terra,MODIS,62,6.3,296.5,11.2,D,0,POINT (146.6744 -36.8936)
3818,-36.9603,146.6378,309.0,1.1,1.1,2019-11-22,0008,Terra,MODIS,40,6.3,295.9,7.3,D,0,POINT (146.6378 -36.9603)
3819,-37.0612,146.9167,309.3,1.1,1.0,2019-11-22,0008,Terra,MODIS,53,6.3,294.9,7.8,D,0,POINT (146.9167 -37.0612)
3820,-37.3219,148.2898,304.0,1.0,1.0,2019-11-22,0008,Terra,MODIS,45,6.3,290.2,4.9,D,0,POINT (148.2898 -37.3219)
3821,-37.3237,148.3013,306.6,1.0,1.0,2019-11-22,0008,Terra,MODIS,46,6.3,289.3,6.2,D,0,POINT (148.3013 -37.3237)
3822,-37.3272,148.3242,318.5,1.0,1.0,2019-11-22,0008,Terra,MODIS,77,6.3,288.5,16.1,D,0,POINT (148.3242 -37.3272)
3823,-37.436,147.6028,341.0,1.0,1.0,2019-11-22,0008,Terra,MODIS,92,6.3,292.0,47.2,D,0,POINT (147.6028 -37.436)
3824,-37.4379,147.6145,309.5,1.0,1.0,2019-11-22,0008,Terra,MODIS,62,6.3,291.0,9.2,D,0,POINT (147.6145 -37.4379)
3825,-37.6469,147.3089,315.6,1.1,1.0,2019-11-22,0008,Terra,MODIS,69,6.3,288.4,11.8,D,0,POINT (147.3089 -37.6469)
4094,-37.8129,148.2138,315.4,1.2,1.1,2019-11-22,0422,Aqua,MODIS,45,6.3,291.5,15.0,D,0,POINT (148.2138 -37.8129)
4095,-37.811,148.2209,311.8,1.2,1.1,2019-11-22,0422,Aqua,MODIS,37,6.3,291.2,11.0,D,0,POINT (148.2209 -37.811)
4096,-37.7594,148.2206,315.5,1.2,1.1,2019-11-22,0422,Aqua,MODIS,62,6.3,293.6,15.6,D,0,POINT (148.2206 -37.7594)
4097,-37.7618,148.2068,321.8,1.2,1.1,2019-11-22,0422,Aqua,MODIS,74,6.3,294.4,23.2,D,0,POINT (148.2068 -37.7618)
