LATITUDE,LONGITUDE,BRIGHTNESS,ACQ_DATE,ACQ_TIME,suburb
-36.6054,147.2688,302.3,2019-11-21,1305,MITTA MITTA
-36.5636,147.2363,308.1,2019-11-21,1305,ESKDALE
-36.5652,147.2252,304.9,2019-11-21,1305,ESKDALE
-36.5657,147.1562,304.5,2019-11-21,1305,UPPER GUNDOWRING
-36.5673,147.145,302.9,2019-11-21,1305,UPPER GUNDOWRING
-36.4352,147.1725,301.3,2019-11-21,1305,TALLANDOON
-36.4008,147.1534,300.9,2019-11-21,1305,SANDY CREEK
-36.2809,147.4766,303.2,2019-11-21,1305,TALLANGATTA VALLEY
-36.2825,147.4655,300.7,2019-11-21,1305,TALLANGATTA VALLEY
-36.4095,147.1574,315.3,2019-11-22,8,SANDY CREEK
-36.568000000000005,147.2304,313.1,2019-11-22,8,MITTA MITTA
-36.5632,147.1439,313.8,2019-11-22,8,UPPER GUNDOWRING
-36.5653,147.1566,321.4,2019-11-22,8,UPPER GUNDOWRING
-36.5932,147.1486,315.8,2019-11-22,8,MONGANS BRIDGE
-36.6968,147.3909,314.0,2019-11-22,8,MITTA MITTA
-36.8883,147.4297,325.8,2019-11-22,8,GLEN VALLEY
-36.8936,146.6744,314.1,2019-11-22,8,DANDONGADALE
-36.9603,146.6378,309.0,2019-11-22,8,ROSE RIVER
-37.0612,146.9167,309.3,2019-11-22,8,SELWYN
-37.3219,148.2898,304.0,2019-11-22,8,W TREE
-37.3237,148.3013,306.6,2019-11-22,8,W TREE
-37.3272,148.3242,318.5,2019-11-22,8,W TREE
-37.436,147.6028,341.0,2019-11-22,8,MARTHAVALE
-37.4379,147.6145,309.5,2019-11-22,8,MARTHAVALE
-37.6469,147.3089,315.6,2019-11-22,8,COBBANNAH
-37.8129,148.2138,315.4,2019-11-22,422,TOSTAREE
-37.811,148.2209,311.8,2019-11-22,422,TOSTAREE
-37.7594,148.2206,315.5,2019-11-22,422,WOMBAT CREEK
-37.7618,148.2068,321.8,2019-11-22,422,WOMBAT CREEK
-37.7135,147.9573,310.5,2019-11-22,422,NOWA NOWA
-37.7158,147.944,370.4,2019-11-22,422,NOWA NOWA
-37.7181,147.9305,339.0,2019-11-22,422,NOWA NOWA
-37.705999999999996,147.9414,381.4,2019-11-22,422,NOWA NOWA
-37.7084,147.9278,357.4,2019-11-22,422,NOWA NOWA
-38.0119,145.2614,315.1,2019-11-22,422,HALLAM
-37.6494,147.3075,347.9,2019-11-22,422,COBBANNAH
-37.6515,147.2947,318.5,2019-11-22,422,COBBANNAH
-37.326,148.3329,333.3,2019-11-22,422,W TREE
-37.3286,148.3188,415.9,2019-11-22,422,W TREE
-37.3311,148.305,328.8,2019-11-22,422,W TREE
-37.3335,148.2914,320.5,2019-11-22,422,W TREE
-37.3878,147.9879,307.4,2019-11-22,422,NUNNIONG
-37.329,148.3284,368.3,2019-11-22,422,W TREE
-37.3314,148.3143,385.0,2019-11-22,422,W TREE
-37.3892,147.9828,309.7,2019-11-22,422,REEDY FLAT
-37.3239,148.298,313.9,2019-11-22,422,W TREE
-37.4418,147.6165,332.3,2019-11-22,422,STIRLING
-37.444,147.6035,351.8,2019-11-22,422,MARTHAVALE
-37.4322,147.614,333.9,2019-11-22,422,MARTHAVALE
-37.4344,147.601,357.3,2019-11-22,422,MARTHAVALE
-37.4365,147.5887,306.2,2019-11-22,422,MARTHAVALE
-36.8953,147.4426,320.0,2019-11-22,422,GLEN VALLEY
-36.8977,147.4284,371.0,2019-11-22,422,GLEN VALLEY
-36.9,147.4151,316.0,2019-11-22,422,NELSE
-36.8881,147.4258,342.2,2019-11-22,422,GLEN VALLEY
-36.9657,146.6385,312.9,2019-11-22,422,ROSE RIVER
-36.9563,146.6361,316.1,2019-11-22,422,ROSE RIVER
-36.7975,147.4092,332.5,2019-11-22,422,NELSE
-36.7996,147.3968,326.6,2019-11-22,422,NELSE
-36.89,146.6835,310.8,2019-11-22,422,DANDONGADALE
-36.8921,146.6706,321.3,2019-11-22,422,DANDONGADALE
-36.6985,147.3916,317.5,2019-11-22,422,MITTA MITTA
-36.6026,147.3471,310.9,2019-11-22,423,MITTA MITTA
-36.6183,147.2553,328.9,2019-11-22,423,MITTA MITTA
-36.6067,147.2646,312.0,2019-11-22,423,MITTA MITTA
-36.7213,146.5252,316.8,2019-11-22,423,EDI UPPER
-36.5944,147.1493,317.2,2019-11-22,423,MONGANS BRIDGE
-36.5965,147.1371,322.4,2019-11-22,423,MONGANS BRIDGE
-36.5697,147.2366,313.6,2019-11-22,423,MITTA MITTA
-36.56,147.2349,315.5,2019-11-22,423,ESKDALE
-36.5732,147.1566,327.9,2019-11-22,423,UPPER GUNDOWRING
-36.5752,147.1448,327.0,2019-11-22,423,UPPER GUNDOWRING
-36.5637,147.1535,319.1,2019-11-22,423,ESKDALE
-36.5657,147.1416,341.2,2019-11-22,423,UPPER GUNDOWRING
-36.4061,147.1679,326.6,2019-11-22,423,TALLANDOON
-36.4082,147.1549,357.9,2019-11-22,423,SANDY CREEK
-35.7314,142.1581,324.7,2019-11-22,423,HOPETOUN
-36.5725,147.1377,300.2,2019-11-22,1347,UPPER GUNDOWRING
-36.5574,147.2365,306.0,2019-11-22,1526,ESKDALE
-36.5554,147.1547,310.4,2019-11-22,1526,ESKDALE
-36.5629,147.1415,307.9,2019-11-22,1526,UPPER GUNDOWRING
-36.5644,147.1526,313.7,2019-11-22,1526,ESKDALE
-36.566,147.1639,305.9,2019-11-22,1526,ESKDALE
-36.6,147.2739,303.2,2019-11-22,1526,MITTA MITTA
-36.5917,147.1472,304.2,2019-11-22,1526,MONGANS BRIDGE
-36.6884,147.3898,309.3,2019-11-22,1526,MITTA MITTA
-36.6901,147.4017,302.3,2019-11-22,1526,MITTA MITTA
-36.7929,147.4094,301.7,2019-11-22,1526,NELSE
-36.887,147.4305,301.6,2019-11-22,1526,GLEN VALLEY
-37.3137,148.3248,305.1,2019-11-22,1526,W TREE
-37.32,148.2986,317.7,2019-11-22,1526,W TREE
-37.3231,148.3229,312.5,2019-11-22,1526,W TREE
-37.6976,147.9366,319.3,2019-11-22,1526,NOWA NOWA
-37.6992,147.9488,306.0,2019-11-22,1526,NOWA NOWA
-37.7069,147.9347,317.3,2019-11-22,1526,NOWA NOWA
